"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1832","2.839266","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2364296 Win=716544 Len=0"
"1833","2.839326","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1834","2.839347","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2380702 Win=700160 Len=0"
"1835","2.839364","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1836","2.839386","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2397108 Win=683776 Len=0"
"1837","2.839425","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1838","2.839449","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2413514 Win=667392 Len=0"
"1839","2.839467","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1840","2.839488","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2429920 Win=651008 Len=0"
"1841","2.839518","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1842","2.839539","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2446326 Win=634624 Len=0"
"1843","2.839556","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1844","2.839576","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2462732 Win=617984 Len=0"
"1845","2.839606","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1846","2.839624","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2479138 Win=601600 Len=0"
"1847","2.839642","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1848","2.839664","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2495544 Win=585216 Len=0"
"1849","2.839694","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1850","2.839719","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2511950 Win=568832 Len=0"
"1851","2.839756","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1852","2.839777","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2528356 Win=552448 Len=0"
"1853","2.839835","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1854","2.839855","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2544762 Win=536064 Len=0"
"1855","2.839873","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1856","2.839894","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2561168 Win=519680 Len=0"
"1857","2.839926","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1858","2.839946","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2577574 Win=503296 Len=0"
"1859","2.839963","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1860","2.839985","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2593980 Win=486912 Len=0"
"1861","2.840024","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1862","2.840051","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2610386 Win=470528 Len=0"
"1863","2.840077","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1864","2.840095","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2626792 Win=454144 Len=0"
"1865","2.840138","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1866","2.840180","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2643198 Win=437504 Len=0"
"1867","2.840215","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1868","2.840241","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2659604 Win=421120 Len=0"
"1869","2.840275","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1870","2.840295","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2676010 Win=404736 Len=0"
"1871","2.840312","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1872","2.840341","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2692416 Win=388352 Len=0"
"1873","2.840382","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1874","2.840400","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2708822 Win=371968 Len=0"
"1875","2.840417","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1876","2.840434","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2725228 Win=355584 Len=0"
"1877","2.840464","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1878","2.840481","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2741634 Win=339200 Len=0"
"1879","2.840498","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1880","2.840516","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2758040 Win=322816 Len=0"
"1881","2.840545","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1882","2.840566","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2774446 Win=306432 Len=0"
"1883","2.840582","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1884","2.840604","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2790852 Win=290048 Len=0"
"1885","2.840634","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1886","2.840656","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2807258 Win=273664 Len=0"
"1887","2.840675","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1888","2.840696","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2823664 Win=257280 Len=0"
"1889","2.840734","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1890","2.840757","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2840070 Win=240640 Len=0"
"1891","2.840778","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1892","2.840803","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2856476 Win=224256 Len=0"
"1893","2.840839","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1894","2.840860","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2872882 Win=207872 Len=0"
"1895","2.840878","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1896","2.840902","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2889288 Win=191488 Len=0"
"1897","2.840961","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1898","2.841011","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2905694 Win=175104 Len=0"
"1899","2.841033","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1900","2.841060","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2922100 Win=158720 Len=0"
"1901","2.841176","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1902","2.841209","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2938506 Win=142336 Len=0"
"1903","2.841231","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1904","2.841262","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2954912 Win=125952 Len=0"
"1905","2.841314","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1906","2.841354","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2971318 Win=109568 Len=0"
"1907","2.841409","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1908","2.841457","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=2987724 Win=93184 Len=0"
"1909","2.841530","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1910","2.841563","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3004130 Win=76800 Len=0"
"1911","2.841590","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1912","2.841618","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3020536 Win=60416 Len=0"
"1913","2.841669","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1914","2.841705","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3036942 Win=43776 Len=0"
"1915","2.841730","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1916","2.841756","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3053348 Win=27392 Len=0"
"1917","2.841807","7443","23810","TLSv1.3","16450","","","","","Application Data"
"1918","2.841829","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3069754 Win=11008 Len=0"
"1919","2.845551","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3069754 Win=76800 Len=0"
"1920","2.845585","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data"
"1921","2.845622","7443","23810","TLSv1.3","11349","","","","","[TCP Window Full] , Application Data [TCP segment of a reassembled PDU]"
"1922","2.845667","23810","7443","TCP","44","","","","","[TCP ZeroWindow] 23810  >  7443 [ACK] Seq=691 Ack=3146554 Win=0 Len=0"
"1923","2.864371","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3146554 Win=68864 Len=0"
"1924","2.864400","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1925","2.864470","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3212049 Win=3328 Len=0"
"1926","2.869085","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3212049 Win=69120 Len=0"
"1927","2.869112","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1928","2.869191","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3277544 Win=3584 Len=0"
"1929","2.879388","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3277544 Win=69120 Len=0"
"1930","2.879416","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1931","2.879493","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3343039 Win=3840 Len=0"
"1932","2.882864","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3343039 Win=69376 Len=0"
"1933","2.882885","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1934","2.882956","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3408534 Win=3840 Len=0"
"1935","2.886353","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3408534 Win=69376 Len=0"
"1936","2.886374","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1937","2.886442","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3474029 Win=4096 Len=0"
"1938","2.890889","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3474029 Win=69632 Len=0"
"1939","2.890918","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1940","2.890995","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3539524 Win=4096 Len=0"
"1941","2.900042","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3539524 Win=69632 Len=0"
"1942","2.900069","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
"1943","2.900148","23810","7443","TCP","44","","","","","23810  >  7443 [ACK] Seq=691 Ack=3605019 Win=4352 Len=0"
"1944","2.903522","23810","7443","TCP","44","","","","","[TCP Window Update] 23810  >  7443 [ACK] Seq=691 Ack=3605019 Win=69888 Len=0"
"1945","2.903543","7443","23810","TLSv1.3","65539","","","","","Application Data, Application Data, Application Data, Application Data"
