"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"62","0.302442","7443","24231","TLSv1.3","16450","","","","","Application Data"
"63","0.302451","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=280732 Win=2537472 Len=0"
"64","0.302474","7443","24231","TLSv1.3","16450","","","","","Application Data"
"65","0.302493","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=297138 Win=2521088 Len=0"
"66","0.302544","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=297138 Win=2586880 Len=0"
"67","0.302550","7443","24231","TLSv1.3","16450","","","","","Application Data"
"68","0.302567","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=313544 Win=2570496 Len=0"
"69","0.302593","7443","24231","TLSv1.3","16450","","","","","Application Data"
"70","0.302605","7443","24231","TLSv1.3","16450","","","","","Application Data"
"71","0.302616","7443","24231","TLSv1.3","16450","","","","","Application Data"
"72","0.302630","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=329950 Win=2554112 Len=0"
"73","0.302671","7443","24231","TLSv1.3","16450","","","","","Application Data"
"74","0.302684","7443","24231","TLSv1.3","16450","","","","","Application Data"
"75","0.302701","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=329950 Win=2619648 Len=0"
"76","0.302707","7443","24231","TLSv1.3","16450","","","","","Application Data"
"77","0.302719","7443","24231","TLSv1.3","16450","","","","","Application Data"
"78","0.302729","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=379168 Win=2570496 Len=0"
"79","0.302772","7443","24231","TLSv1.3","16450","","","","","Application Data"
"80","0.302791","7443","24231","TLSv1.3","16450","","","","","Application Data"
"81","0.302799","7443","24231","TLSv1.3","16450","","","","","Application Data"
"82","0.302808","7443","24231","TLSv1.3","16450","","","","","Application Data"
"83","0.302817","7443","24231","TLSv1.3","16450","","","","","Application Data"
"84","0.302825","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=444792 Win=2504704 Len=0"
"85","0.302860","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=444792 Win=2570496 Len=0"
"86","0.302863","7443","24231","TLSv1.3","16450","","","","","Application Data"
"87","0.302872","7443","24231","TLSv1.3","16450","","","","","Application Data"
"88","0.302883","7443","24231","TLSv1.3","16450","","","","","Application Data"
"89","0.302900","7443","24231","TLSv1.3","16450","","","","","Application Data"
"90","0.302921","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=526822 Win=2488320 Len=0"
"91","0.302977","7443","24231","TLSv1.3","16450","","","","","Application Data"
"92","0.302992","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=526822 Win=2554112 Len=0"
"93","0.302994","7443","24231","TLSv1.3","16450","","","","","Application Data"
"94","0.303002","7443","24231","TLSv1.3","16450","","","","","Application Data"
"95","0.303010","7443","24231","TLSv1.3","16450","","","","","Application Data"
"96","0.303019","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=592446 Win=2488320 Len=0"
"97","0.303075","7443","24231","TLSv1.3","16450","","","","","Application Data"
"98","0.303087","7443","24231","TLSv1.3","16450","","","","","Application Data"
"99","0.303104","7443","24231","TLSv1.3","16450","","","","","Application Data"
"100","0.303122","7443","24231","TLSv1.3","16450","","","","","Application Data"
"101","0.303136","7443","24231","TLSv1.3","16450","","","","","Application Data"
"102","0.303153","7443","24231","TLSv1.3","16450","","","","","Application Data"
"103","0.303168","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=658070 Win=2422784 Len=0"
"104","0.303236","7443","24231","TLSv1.3","16450","","","","","Application Data"
"105","0.303270","7443","24231","TLSv1.3","16450","","","","","Application Data"
"106","0.303282","7443","24231","TLSv1.3","16450","","","","","Application Data"
"107","0.303293","7443","24231","TLSv1.3","16450","","","","","Application Data"
"108","0.303304","7443","24231","TLSv1.3","16450","","","","","Application Data"
"109","0.303315","7443","24231","TLSv1.3","16450","","","","","Application Data"
"110","0.303332","7443","24231","TLSv1.3","16450","","","","","Application Data"
"111","0.303349","7443","24231","TLSv1.3","16450","","","","","Application Data"
"112","0.303365","7443","24231","TLSv1.3","16450","","","","","Application Data"
"113","0.303382","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=756506 Win=2324224 Len=0"
"114","0.303387","7443","24231","TLSv1.3","16450","","","","","Application Data"
"115","0.303510","7443","24231","TLSv1.3","16450","","","","","Application Data"
"116","0.303519","7443","24231","TLSv1.3","16450","","","","","Application Data"
"117","0.303526","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=756506 Win=2390016 Len=0"
"118","0.303529","7443","24231","TLSv1.3","16450","","","","","Application Data"
"119","0.303538","7443","24231","TLSv1.3","16450","","","","","Application Data"
"120","0.303546","7443","24231","TLSv1.3","16450","","","","","Application Data"
"121","0.303555","7443","24231","TLSv1.3","16450","","","","","Application Data"
"122","0.303567","7443","24231","TLSv1.3","16450","","","","","Application Data"
"123","0.303577","7443","24231","TLSv1.3","16450","","","","","Application Data"
"124","0.303587","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=920566 Win=2225920 Len=0"
"125","0.303690","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2094848 Len=0"
"126","0.316835","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2163712 Len=0"
"127","0.326556","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2229248 Len=0"
"128","0.330681","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2295040 Len=0"
"129","0.334354","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2360576 Len=0"
"130","0.337832","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2426112 Len=0"
"131","0.347957","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2491904 Len=0"
"132","0.351595","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=1051814 Win=2557440 Len=0"
"133","0.396647","24231","7443","TLSv1.3","153","","","","","Application Data"
"134","0.396675","7443","24231","TCP","44","","","","","7443  >  24231 [ACK] Seq=1051814 Ack=800 Win=2619392 Len=0"
"135","0.397203","7443","24231","TLSv1.3","4162","","","","","Application Data"
"136","0.397231","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1055932 Win=2553344 Len=0"
"137","0.397257","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=800 Ack=1055932 Win=2619648 Len=0"
"138","0.397280","7443","24231","TLSv1.3","16450","","","","","Application Data"
"139","0.397306","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1072338 Win=2603264 Len=0"
"140","0.397325","7443","24231","TLSv1.3","12571","","","","","Application Data"
"141","0.397344","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1084865 Win=2590720 Len=0"
"142","0.397385","7443","24231","TLSv1.3","16450","","","","","Application Data"
"143","0.397409","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1101271 Win=2574336 Len=0"
"144","0.397427","7443","24231","TLSv1.3","16450","","","","","Application Data"
"145","0.397448","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1117677 Win=2557952 Len=0"
"146","0.397479","7443","24231","TLSv1.3","16450","","","","","Application Data"
"147","0.397502","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1134083 Win=2541568 Len=0"
"148","0.397527","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=800 Ack=1134083 Win=2607360 Len=0"
"149","0.397539","7443","24231","TLSv1.3","16450","","","","","Application Data"
"150","0.397570","7443","24231","TLSv1.3","16450","","","","","Application Data"
"151","0.397581","7443","24231","TLSv1.3","16450","","","","","Application Data"
"152","0.397589","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1150489 Win=2590976 Len=0"
"153","0.397618","7443","24231","TLSv1.3","16450","","","","","Application Data"
"154","0.397628","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1183301 Win=2558208 Len=0"
"155","0.397645","7443","24231","TLSv1.3","16450","","","","","Application Data"
"156","0.397656","7443","24231","TLSv1.3","16450","","","","","Application Data"
"157","0.397668","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=800 Ack=1199707 Win=2541824 Len=0"
"158","0.397693","7443","24231","TLSv1.3","16450","","","","","Application Data"
"159","0.397704","7443","24231","TLSv1.3","16450","","","","","Application Data"
"160","0.397716","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=800 Ack=1199707 Win=2607360 Len=0"
"161","0.397718","7443","24231","TLSv1.3","16450","","","","","Application Data"
